id,position,company
11799,Business Analyst,JP Morgan Chase (Collabera)
11800,VBA/SQL Integrator,ATT (MetaSys Inc.)
11801,Business Analyst,Wimmer Solutions
11802,VBA/SQL Integrator (Collabera),Microsoft
11803,VBA/SQL Integrator,"Cobra Management Services, LLC"
11804,Programmer/Functional Analyst,Puget Sound Energy
11805,VBA Specialist,Puget Sound Energy
11806,VBA/SQL Integrator,Weyerhaeuser
11807,ActivPlant Support Specialist,Weyerhaeuser
11808,VBA/SQL Integrator,Cisco Systems
11809,VBA/SQL Integrator,Seattle Children's
11810,Business Analyst,Boeing
11811,VBA/SQL Integrator,Harland Business Solutions
11812,VBA Specialist,"Gap, Inc."
11813,Access Developer,ConverTech/Base-Line
11814,Software Engineer,Attachmate
11815,SR ANALYST-TECHNICAL–EVENTLINK MEDIATIONS,T-Mobile
11816,Owner,Digital Commerce Enterprises
11817,Seattle South East Cabinet Member,The Gideons International
11818,Application Support Analyst III,JMA Information Technology
11819,Contractor,Strong-Bridge LLC
11820,DATA ANALYST,Microsoft
11821,Senior Data Analyst,AT&T Mobility
11822,Contractor,Matrix Resources
11823,PROGRAMMER/PROGRAM ANALYST,Sacred Heart Medical Center
11824,Contractor,"EMPATH, Inc."
11825,Contractor - Empath / Sacred Heart Medical Center,"Austin Sierra Consulting, Inc."
11826,PROGRAMMER/PROGRAM ANALYST,T-Mobile
11827,Contractor - T-Mobile,COMSYS
11828,PROGRAMMER/BUSINESS ANALYST,AT&T Mobility
11829,Contractor - AT&T Mobility,WFI
11830,PROGRAMMER/PROGRAM ANALYST,TeleCommunication Systems
11831,Contractor - TCS,"Bluwater Consulting, Inc."
11832,BUSINESS ANALYST/APP DEVELOPER,Starbucks
11833,Contractor - Starbucks Coffee Company,Volt Technical Resources
11834,SOX CONSULTANT,AT&T Mobility
11835,Student,St. Lawrence College
11836,Technical Support,On2
11837,Filmmaker,Linkage NY
11838,SQL Performance Engineer,Microsoft
11839,Software Tester,Real Networks
11840,Performance Engineer,Volt
11841,System Manager,Featureline Online
11842,Regional Business System Analyst,Wellington Insurance
11843,Help Desk Analyst,Kelly Douglas
11844,POS Support Engineer,Canada Safeway
11845,Programmer,Continuing Legal Education of BC
11846,Programmer,Macmillan Bloedel
11847,"Programmer, Dept of Finance Conversion Project",BC Systems Corp
11848,Programmer,Institute of Ocean Sciences
11849,Senior Solution Developer,SEEK
11850,"Director, Solution Architect",Tauras Pty Ltd
11851,Senior Analyst Programmer,NURSE BOARD OF VICTORIA
11852,Web Developer,MYCAREER.COM.AU
11853,Software Developer,Fairfax Digital
11854,Senior Analyst Programmer,SUPERPARTNERS
11855,Software Development Engineer,"GALLERYPLAYER, Seattle, WA USA"
11856,Technical Lead / Senior Software Developer,"EPROJECT, INC., Seattle, WA USA"
11857,Software Design Engineer in Test,"MICROSOFT, Redmond, WA USA"
11858,Software Engineer / Graduate Student,"Hawaii Pacific University, Honolulu, HI USA"
11859,Software Developer,"PANSKY CO. INC., Bejing, China"
11860,Software Developer,"SOUTH CHINA UNIVERSITY OF TECHNOLOGY, Guangzhou, China"
11861,"Commissioning Engineering at Siemens Mobility for Seattle Sound Link Light Rail System, Seattle WA",Siemens mobility
11862,EV Engineer,American Center for Mobility
11863,Electrical Engineer/EV Charging Station Deployment,"Quanta Utility Engineering Services (QUES), Kansas City, MO"
11864,Electrical Engineer/Product Manager/Project Manager,AoNeng Power Supply Equipment
11865,EV Charging Engineer,Botswana Telecommunications Corporation (BTC)
11866,Electrical Engineer/Project Manager,FDG EV Limited
11867,Software Engineer,InfoSys for Halliburton Account
11868,Software Engineer,InfoSys for Microsoft Account
11869,Electrical Engineer,Grand Coulee Power Office
11870,Senior Contract Software Developer,Bonneville Power Administration
11871,Graduate Student,Washington State University
11872,Software Engineer,Microsoft (Contract through HCL America)
11873,President,Ardent Solar LLC
11874,Testing Engineer,Philips Healthcare (Contract through Adecco Engineering)
11875,Senior Software Engineer,LabelMaster (Contract through Robert Half Technologies)
11876,Senior Software Engineer,Microsoft adCenter (Contract through Aditi Technologies)
11877,Senior Software Engineer,Rainbow Steps
11878,President,Q Wins Inc.
11879,Sr. Software Developer,Microsoft
11880,Senior Software Engineer,Papugai
11881,Database Administrator,Vestas
11882,Senior Database Administrator/ BI Developer,Brainstorm USA
11883,"Database, Network, Systems Manager",American International School-Riyadh
11884,Systems Analyst/Programmer,Gulf Stars Computer Systems
11885,Senior Applications Engineer,IT&C Philippines
11886,Applications Engineer,Dole Asia
11887,Programming Instructor,Notre Dame of Marbel University
11888,"SME, Senior level tester, Personal Devices;",AT&T
11889,OS Deploymen/Test,Microsoft
11890,Firmware test team- Software Tester/Developer Personal Devices,Microsoft
11891,Software tester,Akvelon
11892,Student,iSOFT
11893,Independent Agent,World Financial Group
11894,Software tester,"Byram Healthcare Redmond, WA"
11895,Reimbursement Specialist/ Project Manager,Byram Helathcare
11896,Senior Assistant,ARC Escrow
11897,Escrow Assistant,Seattle Escrow
11898,Loan processor / customer care,Compass Point Lending
11899,Manager,LAPrompt Medical Lab
11900,"Principal Architect, Enterprise Solutions ",T-Mobile
11901,Lead Solution Architect,Genie – a Terex brand
11902,"Lead Architect, Enterprise Systems",Farmers Insurance
11903,Sr. Consultant/Architect,Iron Mountain
11904,Sr. Consultant/Architect,Farmers Insurance
11905,GIS Software Architect,City of Seattle
11906,Sr. Software Consultant,Microsoft Redmond WA
11907,Sr. Software Consultant,Rapidigm Seattle WA
11908,Software Consultant,Philip Morris International New York
11909,Software Consultant,TTSL Barbados
11910,Software Engineer,Patni Computer Systems Mumbai
11911,Software Engineer,Data Systems Services Pune
11912,Business System Analyst,Sea Mar Community Health Centers
11913,Healthcare Data Analyst,Swedish
11914,Senior Business Intelligence Analyst,Providence Health & Services
11915,Senior Business Analyst,UnitedHealth Group - Optum360
11916,Data Analyst,Washington State Hospital Association
11917,Decision Support Analyst,Seattle Cancer Care Alliance
11918,"Epic Test Coordinator - Epic Implementation Project, Good Sam",MultiCare Health System
11919,Systems Analyst 3/Reporting Analyst,University of Washington Medical Center
11920,Computer Support Analyst 2,"Medex NW, Univ. of WA Physician Assistant Training program"
11921,Software Test Engineer II,Microsoft Digital Media Division
11922,Software Test Engineer,Microsoft Corporation
11923,Database Developer / Computer Support,Benham Studio/Gallery
11924,Consultant: Database Administrator,Flexion Inc.
11925,Consultant: Database Administrator,Tail Wind Technologies Corporation
11926,Database Administrator,Avionte Staffing Software
11927,Lead SQL Database Administrator,CHS
11928,Sr. Database Administrator,The Burchfield Group
11929,DBA,Marathon Multimedia
11930,DBA III,HB Fuller
11931,Software Engineer,Intercim
11932,Lead System Administrator,Microsoft
11933,Database Manager (WA),American Lung Association
11934,Technical Support,Concur Technologies
11935,Assistant Director / Technical Program Manager,EY
11936,Solution Architect - SharePoint,Wipro Technologies US
11937,Technical Manager / SharePoint Architect,Charles Schwab - Denver CO
11938,Senior Associate - Projects,Cognizant Technology Solutions US Corp
11939,Technical PM / Delivery Lead - SharePoint,Abbott Laboratories - Chicago IL
11940,Technical Architect / Project manager - SharePoint,Microsoft Corporation - Seattle WA
11941,Technical Specialist / Specialist (Software),iGATE Patni
11942,Consultant / Technical Lead,Metropolitan Life Insurance Company - Somerset NJ
11943,Technical Business Analyst,KnowledgePoint - Physicians World - Secaucus NJ
11944,Consultant,Spinsys - Sterling VA
11945,Consultant,Harman - Sandy UT
11946,It Consultant,Attorneys' Title Insurance Fund Inc. - Orlando FL
11947,Consultant,Bound Tree Medical
11948,Analyst/Programmer,CCS Technologies
11949,Software Engineer,Sesame Software Solutions Pvt. Ltd.
11950,Curriculum Skills and Experiences,Wa K-12 schools
11951,Substitute Teacher,Tahoma School District
11952,Science Teacher,ISSAQUAH SCHOOL DISTRICT
11953,High School Biology Teacher in training,Bellevue School District
11954,Secondary Substitute/Science Substitute Teacher,Eastside Catholic School
11955,Summer Chemistry Instructor,University of Washington
11956,Summer Biotechnology Lab Instructor,University of Washington
11957,Secondary Science Substitute Teacher,University Prep
11958,Secondary Science Substitute Teacher(Biology and Chemistry),Seattle Preparatory School
11959,Secondary Substitute Teacher,Forest Ridge School of the Sacred Heart
11960,Biology Teaching Assistant,Bellevue College
11961,Volunteer Science Teaching Assistant,Tyee Middle School/Bellevue School District
11962,Volunteer Science Teaching Assistant,Issaquah School District
11963,Volunteer Science Teaching Assistant,Pine Lake Middle School/Issaquah School District
11964,Software Engineer,UltraBac Software
11965,PRESIDENT,Tolson Telecom Company
11966,"PROFESSIONAL-APP/PROD : SME for M2M “Subject Matter Expert”; Sr. Network Architect, Project Manager",AT&T Enterprise Mobility Management Services - EMM Consulting & Advanced Technical Support
11967,Sr. Network Designer & Architect ,United Airlines / Insight Global Chicago
11968,Authorized Distributor Chicago Market,Clearwire
11969,Senior Network Designer & Engineer,"THE BOEING COMPANY World Headquarters, Chicago, Ill; Seattle WA."
11970,Consultant,Third World Press
11971,MSC Student,Northwestern University
11972,Advisory I/T Specialist,"IBM - International Business Machines (Global Services), Seattle, WA"
11973,Sr. Software Engineer and Applications Developer R&D,"SPACELABS Medical, Redmond, WA"
11974,"Chief Technical Architect,","Apprise (Xerox Financial), Seattle, WA"
11975,Senior Network Designer & Engineer,THE BOEING COMPANY Seattle WA.
11976,City Net Lead Project Engineer,"Telecom Intrum Staffing, Inc"
11977,Senior Learning and Development Program Manager | Sr. Instructional Designer ,"King County, WA"
11978,Business Analyst / UI & UX / Instructional Design,"Medical Reporting Software (MRS Systems, Inc.)"
11979,Information Security Analyst,PEMCO
11980,Principal - Operations,Medici Architects
11981,"CTO, Founder",Cloud Utility District
11982,Principal Consultant,Motorola Solutions
11983,Principal Software Engineer,"Twisted Pair Solutions, Seattle, Washington"
11984,Consultant / Binary Systems,"Infinity Visions, Bellevue, WA"
11985,Consultant / Binary Systems,"Mercury Computer Systems, Chelmsford, MA"
11986,Senior Software Engineer,"Coastal Environmental Systems, Seattle, WA"
11987,Software Design Engineer,"Microsoft Corporation, Redmond, WA"
11988,Product Development,"Binary Systems, Bellevue, WA"
11989,Consultant / Binary Systems,"AT&T - Aircraft Communications Division, Seattle, WA"
11990,Consultant / Binary Systems,"Microsoft Corporation, Redmond, WA"
11991,Consultant / Binary Systems,"Metawave Communications Corporation, Redmond, WA"
11992,Consultant / Binary Systems,"Waste Receiving and Processing (WRAP1) Facility, Hanford, WA"
11993,Consultant / Binary Systems,"Motorola, Wireless Data Group, Bothell, WA"
11994,Consultant / Binary Systems,"Eldec Corporation, Aircraft Systems Division, Bothell, WA"
11995,Consultant,"Sundstrand Data Control Inc. Redmond, WA"
11996,Senior Engineer,"Level II, Inc., Mercer Island, WA"
11997,Development Engineer,"Anderson Electric Controls, Kent WA"
11998,Instructor in French,Alliance Française de Seattle
11999,Software Engineer,Elsevier MDL
12000,Software Engineer and IT Engineer,Interactive Simulations
12001,Software Test Engineer,Volt - Microsoft
12002,Localizor,"Opera Traduction - Microsoft – Paris, France and Redmond, WA"
12003,"GM, Big Data BG",Xiaomi Technology
12004,Entrepreneur,Entrepreneur
12005,VP,SINA
12006,Senior Director of Engineering & Head of Mobile,"Zynga China @ Beijing, China"
12007,Senior Director of Engineering,"Yahoo! Global R&D @ Beijing, China"
12008,Senior Software Development Manager,"Microsoft Mobile Technology Center @ Beijing, China"
12009,E2E Domain Manager / Project Manager,"Nokia R&D @ Vancouver, BC, Canada"
12010,Software Engineer,"Infowave Software @ Vancouver, BC, Canada"
12011,Software Engineer,"BSquare Corporation @ Seattle, WA, USA"
12012,Volunteer Contributing Technical Writer ,The Good Docs Project
12013,Senior Business Analyst at City of Seattle,City of Seattle
12014,Senior Business Process Analyst | Technical Writer | Government Data Exchange Coordinator,BLUE ORIGIN
12015,Materials Handler,King County Library System
12016,"Consultant, Strategist | Information Management & Architecture",QSys.co.uk
12017,Senior Data Analyst | Senior Applications Developer | Information Management Professional,"King County, WA"
12018,Consulting BI/Data Architect,Qsys.co.uk
12019,Microsoft Cloud and Infrastructure Operations Data Analyst,Microsoft (TEKSystems)
12020,Project Lead | Client Liaison | Technical Business Analyst | Solution Architect (ASIC EMS),Boeing (Volt)
12021,Design Lead | Information Specialist | Medicaid Management and Administrative Systems,DXC Technology
12022,Technical Writer | Business Analyst | Solution Architect | Lead Developer,"Microsoft (with EDS - became HP Enterprise Services, now DXC)"
12023,Senior Software Engineer | Technical Writer | PSP | TSP,Microsoft (Consultant | Contractor with TekSystems)
12024,Senior Software Design Engineer | Technical Writer (including Medical Device Platform Management),Philips (via Venturi Technology Partners)
12025,Software Engineer | Consultant | Touch Aware POS,Aztech Professional Services
12026,Software Engineer | Web Banking Solutions,Deutsche Software (India) Private Limited
12027,Programmer Analyst | Enterprise Management Reusable Components,Ramco Systems
12041,Architecte/ DBA MS SQL Server - Owner,Solution OMD INC
12042,Consultant Senior SQL Server,CN
12043,Architecte de bases de données MS SQL Server (KEOPS Technologies),ALIZENT
12044,Database Administrator Principal,ACCEO Solutions
12045,Database Administrator - SQL Server,DB Soft
12046,Technical Senior Analyst,Molson
12047,Conseiller (Keops Technologies),ALIZENT
12048,Programmeur-Analyste,IP5 Corp.
12049,CEO & Chief Mad Scientist,Dot-Insight - Microsoft Gold Partner
12050,"MCSD Charter Member (since 1995), MCSE+I, MCDBA, MCNPS, MCP+SB, MCTS, MCBSS / MCBSP: Dynamics CRM",Microsoft
12051,Sr. Solution Development Consultant,Avanade
12052,Software Development Manager,Allen Informática
12053,Sr. Technology Consultant and Instructor,Ka Solution
12054,Systems Analyst,Informatel
12055,Programmer,BF Utilidades Domésticas
12056,Product Specialist (Product Manager) / Scrum Master,Boeing
12057,Technical Program Manager / Scrum Master - Contractor,Microsoft
12058,IT Project Manager / Enterprise Architect - Contractor,The Walt Disney Company
12059,IT Project Manager II - Contractor,Coinstar
12060,Program Manager / Product Owner - Contractor,Microsoft
12061,Project Manager Instructor,Project Management International
12062,IT Project Manager,Port Blakely Companies
12063,IT Project Manager - Contractor,T-Mobile
12064,IT Project Manager,"King County, WA"
12065,Program Manager - Contractor,Microsoft
12066,IT Project Manager,Ericsson
12067,Software Engineer,Aspen Technology
12068,Sitecore Architect ,Americaneagle.com
12069,Sitecore Developer,Valtech
12070,Web Development Lead / Sitecore Architect and Developer,LCI Education
12071,Solutions Architect,LCI Education
12072,Senior Information Technology Consultant / .NET / Sitecore,LCI Education
12073,Senior .NET Developer,Nexio
12074,Web Development Team Lead,Absolunet
12075,Senior .NET Developer,Absolunet
12076,Application Support Specialist,Testforce Systems - Fluke Corporation
12077,Software Developer,Bathfitter
12078,Web Programmer Specialist,Bell Mobility
12079,Report Analyst,Bell Mobility
12080,MRP Analyst,Mars
12081,Marketing and Sales Analyst,Mars
12082,SQL Database Administrator,UnitedHealth Group
12083,Database Performance Specialist\Operations\DevOps Consultant,UnitedHealth Group
12084,Engineer II - SQL Database Administration/Windows Operations and Administration,Microsoft - Windows Phone\Windows Test Operations
12085,Engineer II - SQL Database Administrator/SQLDeveloper/EHA Operations,Microsoft - Windows Phone\Windows Test Operations
12086,Senior SQL Database Administrator,"PEMCO - Seattle, Wa, United States"
12087,Senior SQL Database Administrator\SQL Developer\Data Architect,"LifeSpan BioSciences, Inc."
12088,Lead SQL Database Administrator\SQL Developer,Corbis
12089,Data Architect\DB2 Database Administrator\Lead SQL Database Administrator,Bank of America
12090,Data Architect\DB2 Database Administrator,Puget Sound Energy
12091,Data Architect\Programmer,PACCAR
12092,Co-Founder and CEO,ExtraSlice - Office Space Simplified
12093,Technical Manager,Point Inside
12094,"Product Manager, Security Products",Kaseya
12095,Adjunct faculty / Weekend Continuing Education Program / Technology Program,Bellevue College
12096,Founder,GreensSoft
12097,Software Engineer Sr,IBM
12098,Software Development Engineer,"SDE [iPath] and Engineer at SafeHarbor Technology, Microsoft (Volt)[Security] & Filenet Corporation"
12099,EE Engineering Trainee / Intern [ B-Tech Program],Vikram Sarabhai Space Centre[Research Center of the Indian Space Research Organisation]
12100,Chapter Leader,Operation Code
12101,City Employee,"City of Redmond, WA"
12102,Airborne Ranger,"75th Ranger Regiment, U.S. Army"
12103,"Engineering Leader, Ad Supply & Monetization",Amazon
12104,Senior Software Development Engineer,Amazon
12105,Principal Software Engineer,CA Technologies
12106,Senior Application Developer,CSC
12107,Technical Lead,"GCOM Software, LLC"
12108,Software Professional,Extentia Information Technology
12109,Software Engineer,Encodex Technologies (I) Private Limited
12110,Software Engineer,SunGard - now part of FIS
12111,Software Engineer,Calsoft
12113,Senior Software Engineer - Microsoft Band,Microsoft
12114,Software Engineer 2 - Microsoft Automotive,Microsoft
12115,Software Engineer 2 - Windows Phone health group,Microsoft
12116,Sofware Development Engineer 2 - .Net Micro Framework,Microsoft
12117,Director of AudibleReady Systems development,"Audible,Inc."
12118,Assistant Researcher,Microsoft
12119,Intern,"Microsoft Research, Redmond WA"
12120,Lead Software Development Engineer,Microsoft
12121,Software Development Engineer,PRYM-Medical LTD
12122,Senior Software Developer,Compunnel
12123,"Senior Software Engineer at Microsoft, Redmond, WA","XProtean, Inc."
12124,Senior Software Engineer at PRA Group,"XProtean, Inc."
12125,"Senior Sharepoint Developer at Microsoft, Redmond, WA","XProtean, Inc."
12126,Senior Software Specialist/Lead at NCR Corporation,NCR Corporation
12127,Team Lead,ZenQ
12128,Software Engineer III,Zetron Inc
12129,Software Consultant,"Volt Technical Services – Redmond, WA (Client Site: Microsoft Corporation)"
12130,Lead Software Engineer (Feb. 1996 - June. 2004),"BellSouth/Accenture, Atltanta,GA"
12131,Sr. Software Engineer (Oct. 1995 - Feb. 1996),"Unisys Corp - Information Division, Atlanta,GA"
12132,Vertical Foundry Data Specialist,Google
12133,Startup Software Engineer Intern,OrebxLabs
12134,Software Engineer Intern,"Utility, Inc."
12135,Sr Software Engineer,Placed
12136,Sr Software Engineer @Bigdata & Datamining Team,Microsoft
12137,Sr Software Engineer @Learning Experience Team,Microsoft
12138,Software Developer Lead / Architect @ NASDAQ Project,Borsa Istanbul AS
12139,Software Development Lead / Architect,Cyclops Technology Inc.
12140,Senior Software Developer / Architect,Turkish Airlines
12141,Application Development Consultant,Microsoft Corporation
12142,FreeLance Software Developer,FreeLance Software Development
12143,Software Design Engineer in Test (SDET),Microsoft
12144,Software Desing Engineer,Havelsan
12145,Senior Project - Natural Language Processing (NLP),Bilkent University
12146,VP of Engineering,Microsoft
12147,Partner Software Eng Manager,Microsoft
12148,Staff Software Engineer/Tech Lead Manager,Google
12149,Principle Architect,Microsoft
12150,Senior Software Engineer @ GOOGLE,Google
12151,SDE,"Microsoft Corporation, Redmond, WA"
12152,Principal Software Engineer Manager,Microsoft
12153,Research Assistant,Simon Fraser University
12154,Software / Firmware Engineer Lead,Meta
12155,Senior Software Developer on Hololens / Windows Mixed Reality,Microsoft
12156,SW Developer on Windows Phone,Microsoft
12157,SW Developer Intern on Office for Macs,"Microsoft (Redmond, WA)"
12158,SW Developer Intern on Common Flight Controls Operating System,"BAE Systems (Johnson City, NY)"
12159,SW Developer Intern on JSF Full Authority Digital Engine Controls,"BAE Systems (Johnson City, NY)"
12160,Software Development Manger,Amazon
12161,SDE 2,Microsoft / Windows Live
12162,PSS -- Support Engineer Tier 2,"Microsoft Corporation, Redmond, WA"
12163,Summer Intern,"VLSIP Technologies, Inc."
12164,Software engieering architect,Salesforce
12165,Staff Software Engineer,Tableau Software
12166,Senior software engineer,Tableau Software
12167,MTS II,eBay
12168,Senior Software Design engineer,"Microsoft, Redmond, WA"
12169,Senior Technical Architect,Vistaar Systems
12170,Project Leader,i2 Technologies
12171,Senior Director Of Engineering,Salesforce
12172,Engineering Manager,Dropbox
12173,PRINCIPAL SOFTWARE ENGINEERING MANAGER - Windows USTF,Microsoft
12174,SOFTWARE GROUP ENGINEERING MANAGER - ICE CMS Tools division,Microsoft
12175,SENIOR SOFTWARE ENGINEERING MANAGER - ICE CMS Platform division,Microsoft
12176,SENIOR DEVELOPMENT LEAD - SQL Server Engine division,Microsoft
12177,Founder and VP of Engineering,Lagotek Corporation
12178,Software Design Engineer,"Microsoft, Redmond WA"
12179,Senior Software Engineer,"Elron Software, Haifa Israel"
12180,Senior Software Engineer,"Mavix, Israel"
12181,Software Engineer,Lanoptics
12182,Senior Full Stack .Net Developer,Nebraska Furniture Mart
12183,Software Engineer III,Spreetail
12184,Senior Software Engineer,Data Axle
12185,"SDET ( Vender to Microsoft, Redmond, WA)",Mindtree
12186,"SDET ( Vender to Microsoft, Redmond, WA)",Azimetry Inc
12187,Senior Software Engineer,Xius-Bcgi
12188,Principal Software Engineer,"Microsoft Corp, Hyderabad, India"
12189,Senior Software Engineer,"Microsoft Corp, Hyderabad, India"
12190,Senior Software Engineer,"Microsoft Corp, Redmond, WA USA"
12191,Software Engineer,Aditi Technologies
12192,Software Engineer,Covault Technology
12193,Software Engineer,"Aditi Technologies, Bangalore, India & Bellevue, USA"
12194,Software Engineer,Siemens Communications
12195,Consultant (Microsoft Bellevue WA),Quadrant Resource 
12196,Lead Dev at Mindtree Ltd (Microsoft Redmond WA ),Mindtree
12197,Lead Developer,EF Education First
12198,Senior Developer,EF Education First
12199,Senior Software Engineer,Mindtree
12200,Programmer Analyst,Mindtree
12201,Software Developer,Fusion Plus Solutions Inc
12202,Software Design Engineer,T-Mobile
12203,PowerBI Developer,Cerence Inc.
12204,Business Intelligence Analyst,Microsoft
12205,Senior Specialist Business Intelligence Developer,Wacom Technology Corp.
12206,Software Developer,T-Mobile
12207,Analyst Programmer,ObjectSourceInc
12208,MSBI Developer,Savers
12209,BI Dev Data Analyst,Microsoft
12210,BI Developer,Comcast
12211,I.T. Analyst,Tata Consultancy Services
12212,"BI Analyst PM At Redmond, WA",Microsoft
12213,Support Analyst,JCPenney
12214,Oracle SQL and DotNET Developer,Bank of America
12215,Tech Support Expert,Dell
12216,Intern,Pramati Technologies Private Limited
12217,Fullstack .Net Developer (W2 Employer),TriShulla Technology
12218,Sr .Net Lead Developer (Through IBM),Nationwide
12219,Sr. Software Engineer (IBM),SunTrust
12220,Sr. BI Developer (IBM),eBay
12221,Sr. NET Consultant (IBM),Commonwealth Bank
12222,Sr.NET Developer (IBM),Xerox
12223,Sr.NET Developer(Cognizant),American Express
12224,Principal Member of Technical Staff,Tableau
12225,Staff Software Engineer,Tableau
12226,Senior Software Engineer,Tableau
12227,Co-founder and Audio Engineer,Nebula MusicWorks
12228,Web Designer/Developer and IT Administrator,Interliant
12229,Web Designer/Developer and IT Administrator,Web Systems Corporation
12233,Software Engineer,Cadwell
12234,System Analyst II,Energy Northwest
12235,Software Development Engineer I - Software Development Engineer II,Microsoft
12236,Application Designer Level 1,"Microsoft, Redmond, WA (On contract from Chameleon Technologies)"
12237,Application Support Engineer,ThePlatform (On contract from Robert Half Technologies)
12238,Developer,Cdigix
12239,Student Worker,Biola University
12240,Software Architect,HealthEquity
12241,Software Architect,Bluefusion Inc
12242,Staff Software Engineer,Visa Inc
12243,Software Development Engineer II,"Microsoft Corporation, Redmond, WA, USA"
12244,Senior Programmar Analyst,"First Advantage, Poway, CA, USA"
12245,Senior C++ and Oracle Architect,"EMC Corporation, Southborough, MA, USA"
12246,Senior Developer,"Toshiba American Corporation, Irvine, CA, USA"
12247,Sr. Systems Analyst,"Convergys IMG, India"
12248,Systems Analyst,"Verizon Data Services Pvt. LTD., India"
12249,Systems Executive,"Pyxis Internationals, India"
12250,Partner Software Development Manager,Microsoft
12251,Principal Software Development Manager,Microsoft
12252,Principal Lead Software Design Engineer,Microsoft
12253,Senior Software Design Engineer,"Wind River Systems, Newport Beach, CA"
12254,Software Design Engineer,"Routerware Inc, NewPort Beach, CA (Acquired by WindRiver in 1999)"
12255,Software Design Engineer,"OnSpec Electronic Inc, Santa Clara, CA"
12256,Customer Support Engineer,"Wipro Infotech, Bangalore"
12257,Component Software Engineer,"Aspect Development Inc, Bangalore"
12258,Firmware Design Engineer,"Vayalil Industries, Bangalore"
12259,Senior Software Engineer,City of Redmond
12260,Foreign Language Teacher,"Gurukul (WA, USA)"
12261,Senior Database Engineer,Airbiquity
12262,Senior Business Intelligence Developer,Microsoft - Digital Crime Unit 
12263,Business Intelligence Consultant,Bill & Melinda Gates Foundation
12264,Senior BI Developer,Microsoft - IEB
12265,Service Intelligence Support,Microsoft - IEB
12266,Sr. SQL Database Developer,Bill & Melinda Gates Foundation
12267,Sr. Application Developer,Safeco
12268,Application Developer,Captaris
12269,Technical Developer,Department of Licensing
12270,Application Developer,OpenLink Financial
12271,Software Developer,"ShareMax, Inc"
12272,Developer Advocate,Google
12273,Senior Software Engineer,"Everystar Co.,Ltd. (a DeNA company, Tokyo Japan)"
12274,Chief Technical Officer,"DeNA Global Inc. (San Mateo, CA)"
12275,Software Design Engineer,"DeNA Co., Ltd. (Tokyo, Japan)"
12276,Software Design Engineer in Test,"Microsoft Corporation (Redmond, WA)"
12277,Software Design Engineer,"Microsoft Japan (Tokyo, Japan)"
12278,"Software Development Engineer II (Orange County, CA)",Microsoft Corporation
12279,"Software Development Engineer (Redmond, WA)",Microsoft Corporation
12280,Scrum Coach,Volkswagen Automotive Cloud at Volkswagen AG
12281,Agile Coach,"Murphy & Associates, Inc."
12282,Agile Coach,Kymeta Corporation
12283,ScrumMaster,"Qumulo, Inc."
12284,ScrumMaster,REI
12285,Scrum Master,Impinj
12286,Senior Technical Project Manager,The Walt Disney Company
12287,Test Manager,ABC Legal Services
12288,SDET & Test Lead,Microsoft
12289,Engineering Technician / VR Programmer,Centers for Disease Control and Prevention
12290,Director Azure Data and AI,Microsoft
12291,Product Manager Leader Azure Datacenter ,Microsoft
12292,"Sr. Product Marketing Manager, Office 365",Microsoft
12293,"Sr Product Marketing Manager, Windows Phone App Store and Games",Microsoft
12294,"Founder, Entrepreneur, Business Development","Artisan Cakes, Redmond WA"
12295,Technical Product Manager,Microsoft
12296,"Software Development Engineer in Test, Microsoft Office",Microsoft
12297,"Software Development Engineer, MS Global Services",Volt
12298,Software Design Engineer,Siemens Subscriber Networks (Efficient Networks)
12299,Software Development Engineer,Cisco
12300,CRM Developer,American College of Emergency Physicians
12301,Software Engineer,"Microsoft (Redmond, WA)"
12302,Software Engineer,"Onyx Software (Bellevue, WA)"
12303,Software Engineer,"Siemens Building Technologies (Buffalo Grove, IL)"
12304,Principal Member Of Technical Staff,Oracle
12305,Staff Software Engineer,Huawei Technologies
12306,Staff Software Design Engineer,Microsemi Corporation
12307,Senior Software Development Engineer,Voicebox Technologies Corporation
12308,Software Development Engineer II - Level 62,Microsoft
12309,Software Development Engineer II - Level 61,Microsoft
12310,CS - Software Design Engineer III,Microsoft
12311,Systems Architect / Project Manager / Senior Software Engineer,Wavetec (Pvt) Ltd.
12312,Software Engineer,Itim Associates (Pvt) Ltd.
12313,Director Program Management,Salesforce
12314,Senior Program Manager - Cloud Data Platform,Salesforce
12315,Senior Program Manager - Government Cloud,Salesforce
12316,Co-Founder,Plaeides Knowledge Ventures Pvt Ltd
12317,Software Engineer - II,Microsoft
12318,Software Engineer -II,Microsoft
12319,Software Engineer - II,"Microsoft, Redmond,WA"
12320,Software Design Engineer in Test,Excel Recruitment
12321,Founder / CTO,Cybersite LLC
12322,Software Engineer,Radiant Software Ltd
12323,IT Manager,"City of Monroe, WA"
12324,Business Systems Analys,Radiant Vision Systems
12325,Senior Developer,Cultura Technologies
12326,IT Manager,City of Duvall
12327,Senior IT Applications Developer,BenchForce
12328,"IT Director, Software Designer Engineer and Microsoft Certified Trainer","TSS Redmond, LLC"
12329,Senior Software Consultant,"I.B.I.S., Inc."
12330,Software Developer Lead,Microsoft
12331,Team Lead and Software Development Engineer,Great Plains Software
12332,"Software Development Team Lead, Program Manager, Customer Implimentation and Support Specialist",iControl
12333,Senior Program Manager,"Microsoft Corporation Redmond, WA USA"
